2022-09-29 19:10:06 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:06 DEBUG    Attemting to receive packet
2022-09-29 19:10:06 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:06 DEBUG    Attemting to receive packet
2022-09-29 19:10:06 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:06 DEBUG    Attemting to receive packet
2022-09-29 19:10:06 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:06 DEBUG    Attemting to receive packet
2022-09-29 19:10:06 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:06 DEBUG    Attemting to receive packet
2022-09-29 19:10:06 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:06 DEBUG    Attemting to receive packet
2022-09-29 19:10:06 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:06 DEBUG    Attemting to receive packet
2022-09-29 19:10:06 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:06 DEBUG    Attemting to receive packet
2022-09-29 19:10:06 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:06 DEBUG    Attemting to receive packet
2022-09-29 19:10:06 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:06 DEBUG    Attemting to receive packet
2022-09-29 19:10:06 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:06 DEBUG    Attemting to receive packet
2022-09-29 19:10:07 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:07 DEBUG    Attemting to receive packet
2022-09-29 19:10:07 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:07 DEBUG    Attemting to receive packet
2022-09-29 19:10:07 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:07 DEBUG    Attemting to receive packet
2022-09-29 19:10:07 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:07 DEBUG    Attemting to receive packet
2022-09-29 19:10:07 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:07 DEBUG    Attemting to receive packet
2022-09-29 19:10:07 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:07 DEBUG    Attemting to receive packet
